# id	file_path	transparent_color_r	g	b
[TEXTURES]
0	textures\mario.png	255	255	255
20	textures\misc.png	176	224	248
10	textures\enemies.png	3	26	110
30	textures\enemies-2.png	0	128	128
40	textures\map1-1_bank.png	255	255	255

# id	left	top	right	bottom	texture_id
[SPRITES]
# BIG MARIO 
# idle right
10001	246	154	260	181	0
# walk
10002	275	154	290	181	0	
10003	304	154	321	181	0
# idle left
10011	186	154	200	181	0
#walk
10012	155	154	170	181	0
10013	125	154	140	181	0
# die 
10099	215	120	231	135	0
#sit
10014	6	239	20	257	0
10015	426	239	440	257	0
#jump left
10016	35	275	51	301	0
#jump right
10017	395	275	411	301	0
#hold shell left
10018	96	234	110	261	0
#hold shell right
10019	336	234	350	261	0

# SMALL MARIO
# idle small right
10021	247	0	259	15	0
# walk
10022	275	0	291	15	0
10023	306	0	320	15	0
# idle small left
10031	187	0	198	15	0
# walk
10032	155	0	170	15	0
10033	125	0	139	15	0
#jump left
10041	95	120	110	136	0
#jump right
10042	336	120	351	136	0
#hold shell left
10043	186	120	200	136	0
#hold shell right
10044	246	120	260	136	0

#LEAF MARIO
#idle left
11001	182	634	203	662	0
#idle right
11002	243	634	264	662	0
#walk left
11011	152	634	174	662	0
11012	122	634	143	661	0
#walk right
11013	272	634	294	662	0
11014	303	634	324	661	0
#jump left low
11015	31	754	54	781	0
#jump right low
11016	392	754	416	781	0
#sit left
11017	2	719	24	737	0
#sit right
11018	422	719	444	737	0
#spin 
11019	331	634	355	662	0
11020	215	633	231	662	0
11021	91	634	115	662	0
11022	215	674	231	702	0
#hold shell left
11023	182	794	204	822	0
#hold shell right
11024	242	794	264	822	0

#FIRE MARIO
#idle left
12001	186	394	200	421	0
idle right
12002	246	394	260	421	0
#walk left
12003	155	394	171	421	0
12004	125	394	141	421	0
#walk right
12005	275	394	291	421	0
12006	305	394	321	421	0
#jump left low
12007	35	515	51	541	0
#jump right low
12008	395	515	411	541	0
#sit left
12009	6	479	20	497	0
#sit right
12010	426	479	440	497	0
#hold shell left
12011	185	594	201	621	0
#hold shell right
12012	245	594	261	621	0

#COIN
60001	303	99	313	115	20
60002	322	99	330	115	20
60003	341	99	347	115	20
#QUESTION BRICK
40001	300	117	316	133	20
40002	318	117	334	133	20
40003	336	117	352	133	20
40004	355	117	370	133	20
#BRICK
20001	16	64	32	80	40
#BRICK GROUND 1
20002	96	160	112	176	30
#BRICK GROUND 2
20003	16	176	32	192	40
#CLOUD BRICK
20004	16	32	32	48	40

#GOOMBA
30001	5	14	21	29	10
30002	25	14	41	29	10
#die
30003	45	21	61	29	10

#KOOPAS
#walk left
50001	205	191	221	217	30
50002	222	191	238	217	30
#walk right
50011	187	191	202	217	30
50012	170	191	185	217	30
#die
50031	152	202	168	217	20
#shell green
50021	239	202	255	218	30
#spin green
50041	239	202	255	218	30
50042	256	202	272	218	30
50043	273	202	289	218	30
50044	290	202	306	218	30

# FIREBALL !!!!!!!!!!!!!!!!!!!!!!
70000	569	120	578	128	20
