32	13
0	136	130	1	0	1
1	0	192	2	3	1	0	1
1	16	192	2	3	0	0	1
1	32	192	2	3	0	0	1
1	48	192	2	3	0	0	1
1	64	192	2	3	0	0	1
1	80	192	2	3	0	0	1
1	96	192	2	3	0	0	1
1	112	192	2	3	0	0	1
1	128	192	2	3	0	0	1
1	144	192	2	3	0	0	1
1	160	192	2	3	0	1	1
1	176	192	2	3	0	1	1
1	192	192	2	3	0	1	1
1	208	192	2	3	0	1	1
1	224	192	2	3	0	1	1
1	240	192	2	3	0	1	1
1	256	192	2	3	0	1	1
1	272	192	2	3	0	1	1
1	288	192	2	3	0	1	1
1	304	192	2	3	0	1	1
1	320	192	2	3	0	2	1
1	336	192	2	3	0	2	1
1	352	192	2	3	0	2	1
1	368	192	2	3	0	2	1
1	384	192	2	3	0	2	1
1	400	192	2	3	0	2	1
1	416	192	2	3	0	2	1
1	432	192	2	3	0	2	1
1	448	192	2	3	0	2	1
1	464	192	2	3	0	2	1
1	480	192	2	3	0	3	1
1	496	192	2	3	1	3	1
6	128	160	9	160	192	0	4	0	1
15	32	128	12	0	1
13	383	112	7	2	0
